Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"C1","4.7u","C_0805_2012Metric",138.950000,-112.000000,180.000000,top
"C2","100n","C_0402_1005Metric",118.800000,-104.020000,90.000000,top
"C3","100n","C_0402_1005Metric",120.380000,-102.600000,180.000000,top
"C4","100n","C_0402_1005Metric",129.500000,-111.900000,0.000000,top
"C6","1u","C_0402_1005Metric",111.500000,-103.020000,270.000000,top
"C7","100n","C_0402_1005Metric",112.700000,-103.020000,270.000000,top
"C8","100n","C_0402_1005Metric",110.620000,-110.900000,0.000000,top
"C9","30p","C_0402_1005Metric",116.080000,-103.300000,0.000000,top
"C10","30p","C_0402_1005Metric",116.080000,-111.200000,0.000000,top
"C11","1u","C_0805_2012Metric",106.850000,-104.000000,180.000000,top
"C12","1u","C_0805_2012Metric",106.850000,-110.500000,0.000000,top
"D2","BLUE","LED_0603_1608Metric",134.787500,-110.300000,0.000000,top
"FB1","100R","L_0603_1608Metric",104.150000,-106.787500,90.000000,top
"J3","USB_B_Micro","USB_Micro-B_Molex_47346-0001",100.400000,-107.250000,270.000000,top
"J4","SWD","PinHeader_2x05_P1.27mm_Vertical_SMD",140.750000,-107.250000,0.000000,top
"L1","27n","L_0402_1005Metric",110.200000,-103.015000,90.000000,top
"R1","10k","R_0402_1005Metric",112.810000,-110.900000,180.000000,top
"R2","1k","R_0402_1005Metric",134.710000,-111.700000,0.000000,top
"SW1","SW_Reset","SW_Push_SPST_NO_Alps_SKRK",111.450000,-107.000000,270.000000,top
"U1","STM32F030C8T6","LQFP-48_7x7mm_P0.5mm",124.762500,-107.250000,0.000000,top
"U2","XC6206P332MR","SOT-23",106.850000,-107.250000,180.000000,top
"Y1","8MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm",116.050000,-107.250000,270.000000,top
